name,calories,protein_g,carbs_g,fat_g
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",122.0,23.4,0.0,2.48
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",123.0,23.7,0.0,2.41
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",219.0,27.3,0.0,11.4
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",145.0,22.7,0.0,5.32
"Bread, whole-wheat, commercially prepared",254.0,12.3,43.1,3.55
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",176.0,27.7,0.0,6.36
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",155.0,22.8,0.0,6.39
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",122.0,23.4,0.0,2.48
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",123.0,23.7,0.0,2.41
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",145.0,22.7,0.0,5.32
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",219.0,27.3,0.0,11.4
"Carrots, frozen, unprepared",37.0,0.81,7.92,0.47
"Cheese, dry white, queso seco",326.0,24.5,2.07,24.3
"Cheese, ricotta, whole milk",157.0,7.81,6.86,11.0
"Cheese, swiss",393.0,27.0,1.44,31.0
"Figs, dried, uncooked",249.0,3.3,63.9,0.92
"Lettuce, cos or romaine, raw",17.0,1.24,3.24,0.26
"Melons, cantaloupe, raw",34.0,0.82,8.16,0.18
"Oranges, raw, navels",47.0,0.91,11.8,0.15
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",43.0,3.38,5.18,0.95
"Pears, raw, bartlett",57.0,0.38,15.1,0.16
"Restaurant, Chinese, sweet and sour pork",260.0,8.88,25.5,13.6
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",34.0,3.43,4.92,0.08
"Sauce, salsa, ready-to-serve",29.0,1.44,6.74,0.19
